id,name,orgAddress,ror,INSPIRE,option
ANL,Argonne National Laboratory,"Physics Division, Argonne National Laboratory, Lemont, Illinois 60439, USA",https://ror.org/05gvnxz63,Argonne,"Physics Division, Argonne National Laboratory, Lemont, Illinois 60439, USA"
AS,Academia Sinica,"Institute of Physics, Academia Sinica, Taipei, 11529, Taiwan",https://ror.org/05bxb3784,"Taiwan, Inst. Phys.","Institute of Physics, Academia Sinica, Taipei,11529, Taiwan"
RIKEN,RIKEN Nishina Center for Accelerator-Based Science,"RIKEN Nishina Center for Accelerator-Based Science, Wako, Saitama 351-0198, Japan",https://ror.org/05tqx4s13,"Nishina Ctr., RIKEN","RIKEN Nishina Center for Accelerator-Based Science, Wako, Saitama 351-0198, Japa"
UIUC,University of Illinois Urbana-Champaign,"Department of Physics, University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA",https://ror.org/047426m28,"Illinois U., Urbana","University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA"
Tokyo,Tokyo Institute of Technology,"Department of Physics, Tokyo Institute of Technology, Meguro-ku, Tokyo 152-8550, Japan",https://ror.org/0112mx960,Tokyo Inst. Tech.,"Tokyo Institute of Technology, Tokyo, Japan"
LANL,Los Alamos National Laboratory,"Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA",https://ror.org/01e41cf67,Los Alamos,"Los Alamos National Laboratory, Los Alamos, New Mexico 87545, US"
normal,National Kaohsiung Normal University,"Department of Physics, National Kaohsiung Normal University, Kaohsiung 824, Taiwan",https://ror.org/04tsc8g87,"Taiwan, Natl. Kaohsiung Normal U.","Department of Physics, National Kaohsiung Normal University, Kaohsiung 824, Taiwan"
Colorado,University of Colorado,"Department of Physics, University of Colorado, Boulder, Colorado 80309, USA",https://ror.org/054spjc55,Colorado U.,"""University of Colorado, Boulder, Colorado 80309, USA"
Michigan,University of Michigan,"Randall Laboratory of Physics, University of Michigan, Ann Arbor, Michigan 48109, USA",https://ror.org/00jmfr291,Michigan U.,"University of Michigan, Ann Arbor, Michigan 48109, USA"
FNAL,Fermi National Accelerator Laboratory,"Fermi National Accelerator Laboratory, Batavia, Illinois 60510, USA",https://ror.org/020hgte69,Fermilab,"Fermi National Accelerator Laboratory, Batavia, Illinois 60510, USA"
ACU,Abilene Christian University,"Department of Engineering and Physics, Abilene Christian University, Abilene, Texas 79699, USA",https://ror.org/004srrf86,Abilene Christian U.,"Abilene Christian University, Abilene, Texas 79699 USA"
Yamagata,Yamagata University,"Department of Physics, Yamagata University, Yamagata City, Yamagata 990-8560, Japan",https://ror.org/00xy44n04,Yamagata U.,"Yamagata University, Yamagata, Japan"
KEK,KEK,"Institute of Particle and Nuclear Studies, KEK, High Energy Accelerator Research Organization, Tsukuba, Ibaraki 305-0801, Japan",https://ror.org/01g5y5k24,"KEK, Tsukuba","KEK, High Energy Accelerator Research Organization, Tsukuba, Ibaraki 305-0801, Japan"
